Division
Women's 11 Under Age Group 36kg
Women's 11 Under Age Group 40kg
Women's 11 Under Age Group 44kg
Women's 11 Under Age Group 48kg
Women's 11 Under Age Group 53kg
Women's 11 Under Age Group 58kg
Women's 11 Under Age Group 63kg
Women's 11 Under Age Group 63+kg
Men's 11 Under Age Group 40kg
Men's 11 Under Age Group 44kg
Men's 11 Under Age Group 48kg
Men's 11 Under Age Group 52kg
Men's 11 Under Age Group 56kg
Men's 11 Under Age Group 60kg
Men's 11 Under Age Group 65kg
Men's 11 Under Age Group 65+kg
Women's 13 Under Age Group 36kg
Women's 13 Under Age Group 40kg
Women's 13 Under Age Group 44kg
Women's 13 Under Age Group 48kg
Women's 13 Under Age Group 53kg
Women's 13 Under Age Group 58kg
Women's 13 Under Age Group 63kg
Women's 13 Under Age Group 63+kg
Men's 13 Under Age Group 40kg
Men's 13 Under Age Group 44kg
Men's 13 Under Age Group 48kg
Men's 13 Under Age Group 52kg
Men's 13 Under Age Group 56kg
Men's 13 Under Age Group 60kg
Men's 13 Under Age Group 65kg
Men's 13 Under Age Group 65+kg
Women's 14-15 Age Group 40kg
Women's 14-15 Age Group 44kg
Women's 14-15 Age Group 48kg
Women's 14-15 Age Group 53kg
Women's 14-15 Age Group 58kg
Women's 14-15 Age Group 63kg
Women's 14-15 Age Group 69kg
Women's 14-15 Age Group 69+kg
Men's 14-15 Age Group 48kg
Men's 14-15 Age Group 52kg
Men's 14-15 Age Group 56kg
Men's 14-15 Age Group 60kg
Men's 14-15 Age Group 65kg
Men's 14-15 Age Group 71kg
Men's 14-15 Age Group 79kg
Men's 14-15 Age Group 79+kg
Women's 16-17 Age Group 44kg
Women's 16-17 Age Group 48kg
Women's 16-17 Age Group 53kg
Women's 16-17 Age Group 58kg
Women's 16-17 Age Group 63kg
Women's 16-17 Age Group 69kg
Women's 16-17 Age Group 77kg
Women's 16-17 Age Group 77+kg
Men's 16-17 Age Group 56kg
Men's 16-17 Age Group 60kg
Men's 16-17 Age Group 65kg
Men's 16-17 Age Group 71kg
Men's 16-17 Age Group 79kg
Men's 16-17 Age Group 88kg
Men's 16-17 Age Group 94kg
Men's 16-17 Age Group 94+kg
Junior Women's 48kg
Junior Women's 53kg
Junior Women's 58kg
Junior Women's 63kg
Junior Women's 69kg
Junior Women's 77kg
Junior Women's 86kg
Junior Women's 86+kg
Junior Men's 60kg
Junior Men's 65kg
Junior Men's 71kg
Junior Men's 79kg
Junior Men's 88kg
Junior Men's 94kg
Junior Men's 110kg
Junior Men's 110+kg
Men's Masters (55-59) 110+kg
Women's Masters (60-64) 48kg
Women's Masters (60-64) 53kg
Women's Masters (60-64) 58kg
Women's Masters (60-64) 63kg
Women's Masters (60-64) 69kg
Women's Masters (60-64) 77kg
Women's Masters (60-64) 86kg
Women's Masters (60-64) 86+kg
Men's Masters (60-64) 60kg
Men's Masters (60-64) 65kg
Men's Masters (60-64) 71kg
Men's Masters (60-64) 79kg
Men's Masters (60-64) 88kg
Men's Masters (60-64) 94kg
Men's Masters (60-64) 110kg
Men's Masters (60-64) 110+kg
Women's Masters (65-69) 48kg
Women's Masters (65-69) 53kg
Women's Masters (65-69) 58kg
Women's Masters (65-69) 63kg
Women's Masters (65-69) 69kg
Women's Masters (65-69) 77kg
Women's Masters (65-69) 86kg
Women's Masters (65-69) 86+kg
Men's Masters (65-69) 60kg
Men's Masters (65-69) 65kg
Men's Masters (65-69) 71kg
Men's Masters (65-69) 79kg
Men's Masters (65-69) 88kg
Men's Masters (65-69) 94kg
Men's Masters (65-69) 110kg
Men's Masters (65-69) 110+kg
Women's Masters (70-74) 48kg
Women's Masters (70-74) 53kg
Women's Masters (70-74) 58kg
Women's Masters (70-74) 63kg
Women's Masters (70-74) 69kg
Women's Masters (70-74) 77kg
Women's Masters (70-74) 86kg
Women's Masters (70-74) 86+kg
Men's Masters (70-74) 60kg
Men's Masters (70-74) 65kg
Men's Masters (70-74) 71kg
Men's Masters (70-74) 79kg
Men's Masters (70-74) 88kg
Men's Masters (70-74) 94kg
Men's Masters (70-74) 110kg
Men's Masters (70-74) 110+kg
Men's Masters (75-79) 60kg
Men's Masters (75-79) 65kg
Men's Masters (75-79) 71kg
Men's Masters (75-79) 79kg
Men's Masters (75-79) 88kg
Men's Masters (75-79) 94kg
Men's Masters (75-79) 110kg
Men's Masters (75-79) 110+kg
Women's Masters (75+) 48kg
Women's Masters (75+) 53kg
Women's Masters (75+) 58kg
Women's Masters (75+) 63kg
Women's Masters (75+) 69kg
Women's Masters (75+) 77kg
Women's Masters (75+) 86kg
Women's Masters (75+) 86+kg
Men's Masters (80+) 60kg
Men's Masters (80+) 65kg
Men's Masters (80+) 71kg
Men's Masters (80+) 79kg
Men's Masters (80+) 88kg
Men's Masters (80+) 94kg
Men's Masters (80+) 110kg
Men's Masters (80+) 110+kg
Open Women's 48kg
Open Women's 53kg
Open Women's 58kg
Open Women's 63kg
Open Women's 69kg
Open Women's 77kg
Open Women's 86kg
Open Women's 86+kg
Open Men's 60kg
Open Men's 65kg
Open Men's 71kg
Open Men's 79kg
Open Men's 88kg
Open Men's 94kg
Open Men's 110kg
Open Men's 110+kg
(Inactive) Women's 13 Under Age Group 31kg
(Inactive) Women's 13 Under Age Group 35kg
(Inactive) Women's 13 Under Age Group 39kg
(Inactive) Women's 13 Under Age Group 44kg
(Inactive) Women's 13 Under Age Group 48kg
(Inactive) Women's 13 Under Age Group 53kg
(Inactive) Women's 13 Under Age Group 58kg
(Inactive) Women's 13 Under Age Group +58 Kg
(Inactive) Women's 13 Under Age Group 30kg
(Inactive) Women's 13 Under Age Group 33kg
(Inactive) Women's 13 Under Age Group 36kg
(Inactive) Women's 13 Under Age Group 40kg
(Inactive) Women's 13 Under Age Group 45kg
(Inactive) Women's 13 Under Age Group 55kg
(Inactive) Women's 13 Under Age Group 59kg
(Inactive) Women's 13 Under Age Group 64kg
(Inactive) Women's 13 Under Age Group +64kg
(Inactive) Men's 13 Under Age Group 31 Kg
(Inactive) Men's 13 Under Age Group 35 Kg
(Inactive) Men's 13 Under Age Group 50 Kg
(Inactive) Men's 13 Under Age Group 56 Kg
(Inactive) Men's 13 Under Age Group 62 Kg
(Inactive) Men's 13 Under Age Group 69 Kg
(Inactive) Men's 13 Under Age Group +69 Kg
(Inactive) Men's 13 Under Age Group 32kg
(Inactive) Men's 13 Under Age Group 36kg
(Inactive) Men's 13 Under Age Group 39kg
(Inactive) Men's 13 Under Age Group 44kg
(Inactive) Men's 13 Under Age Group 49kg
(Inactive) Men's 13 Under Age Group 55kg
(Inactive) Men's 13 Under Age Group 61kg
(Inactive) Men's 13 Under Age Group 67kg
(Inactive) Men's 13 Under Age Group 73kg
(Inactive) Men's 13 Under Age Group +73kg
(Inactive) Women's 14-15 Age Group 44 kg
(Inactive) Women's 14-15 Age Group 48 kg
(Inactive) Women's 14-15 Age Group 53 kg
(Inactive) Women's 14-15 Age Group 58 kg
(Inactive) Women's 14-15 Age Group 63 kg
(Inactive) Women's 14-15 Age Group 69 kg
(Inactive) Women's 14-15 Age Group +69 kg
(Inactive) Women's 14-15 Age Group 36kg
(Inactive) Women's 14-15 Age Group 40kg
(Inactive) Women's 14-15 Age Group 45kg
(Inactive) Women's 14-15 Age Group 49kg
(Inactive) Women's 14-15 Age Group 55kg
(Inactive) Women's 14-15 Age Group 59kg
(Inactive) Women's 14-15 Age Group 64kg
(Inactive) Women's 14-15 Age Group 71kg
(Inactive) Women's 14-15 Age Group 76kg
(Inactive) Women's 14-15 Age Group +76kg
(Inactive) Men's 14-15 Age Group 50 Kg
(Inactive) Men's 14-15 Age Group 56 Kg
(Inactive) Men's 14-15 Age Group 62 kg
(Inactive) Men's 14-15 Age Group 69 kg
(Inactive) Men's 14-15 Age Group 77 kg
(Inactive) Men's 14-15 Age Group 85 Kg
(Inactive) Men's 14-15 Age Group +85 kg
(Inactive) Men's 14-15 Age Group 39kg
(Inactive) Men's 14-15 Age Group 44kg
(Inactive) Men's 14-15 Age Group 49kg
(Inactive) Men's 14-15 Age Group 55kg
(Inactive) Men's 14-15 Age Group 61kg
(Inactive) Men's 14-15 Age Group 67kg
(Inactive) Men's 14-15 Age Group 73kg
(Inactive) Men's 14-15 Age Group 81kg
(Inactive) Men's 14-15 Age Group 89kg
(Inactive) Men's 14-15 Age Group +89kg
(Inactive) Women's 16-17 Age Group 44 kg
(Inactive) Women's 16-17 Age Group 48 kg
(Inactive) Women's 16-17 Age Group 53 kg
(Inactive) Women's 16-17 Age Group 58 kg
(Inactive) Women's 16-17 Age Group 63 kg
(Inactive) Women's 16-17 Age Group 69 kg
(Inactive) Women's 16-17 Age Group 75 kg
(Inactive) Women's 16-17 Age Group +75 kg
(Inactive) Women's 16-17 Age Group 40kg
(Inactive) Women's 16-17 Age Group 45kg
(Inactive) Women's 16-17 Age Group 49kg
(Inactive) Women's 16-17 Age Group 55kg
(Inactive) Women's 16-17 Age Group 59kg
(Inactive) Women's 16-17 Age Group 64kg
(Inactive) Women's 16-17 Age Group 71kg
(Inactive) Women's 16-17 Age Group 76kg
(Inactive) Women's 16-17 Age Group 81kg
(Inactive) Women's 16-17 Age Group +81kg
(Inactive) Men's 16-17 Age Group 50 kg
(Inactive) Men's 16-17 Age Group 56 kg
(Inactive) Men's 16-17 Age Group 62 kg
(Inactive) Men's 16-17 Age Group 69 kg
(Inactive) Men's 16-17 Age Group 77 kg
(Inactive) Men's 16-17 Age Group 85 kg
(Inactive) Men's 16-17 Age Group 94 kg
(Inactive) Men's 16-17 Age Group 105 kg
(Inactive) Men's 16-17 Age Group +105 kg
(Inactive) Men's 16-17 Age Group 49kg
(Inactive) Men's 16-17 Age Group 55kg
(Inactive) Men's 16-17 Age Group 61kg
(Inactive) Men's 16-17 Age Group 67kg
(Inactive) Men's 16-17 Age Group 73kg
(Inactive) Men's 16-17 Age Group 81kg
(Inactive) Men's 16-17 Age Group 89kg
(Inactive) Men's 16-17 Age Group 96kg
(Inactive) Men's 16-17 Age Group 102kg
(Inactive) Men's 16-17 Age Group +102kg
(Inactive) Junior Women's 48 kg
(Inactive) Junior Women's 53 kg
(Inactive) Junior Women's 58 kg
(Inactive) Junior Women's 63 kg
(Inactive) Junior Women's 69 kg
(Inactive) Junior Women's 75 kg
(Inactive) Junior Women's 90 kg
(Inactive) Junior Women's +90 kg
(Inactive) Junior Women's +75 Kg
(Inactive) Junior Women's 45kg
(Inactive) Junior Women's 49kg
(Inactive) Junior Women's 55kg
(Inactive) Junior Women's 59kg
(Inactive) Junior Women's 64kg
(Inactive) Junior Women's 71kg
(Inactive) Junior Women's 76kg
(Inactive) Junior Women's 81kg
(Inactive) Junior Women's 87kg
(Inactive) Junior Women's +87kg
(Inactive) Junior Men's 56 kg
(Inactive) Junior Men's 62 kg
(Inactive) Junior Men's 69 kg
(Inactive) Junior Men's 77 kg
(Inactive) Junior Men's 85 kg
(Inactive) Junior Men's 94 kg
(Inactive) Junior Men's 105 kg
(Inactive) Junior Men's +105 kg
(Inactive) Junior Men's 55kg
(Inactive) Junior Men's 61kg
(Inactive) Junior Men's 67kg
(Inactive) Junior Men's 73kg
(Inactive) Junior Men's 81kg
(Inactive) Junior Men's 89kg
(Inactive) Junior Men's 96kg
(Inactive) Junior Men's 102kg
(Inactive) Junior Men's 109kg
(Inactive) Junior Men's +109kg
(Inactive) Women's Masters (35-39) +75 kg
(Inactive) Women's Masters (35-39) 48 kg
(Inactive) Women's Masters (35-39) 53 kg
(Inactive) Women's Masters (35-39) 58 kg
(Inactive) Women's Masters (35-39) 63 kg
(Inactive) Women's Masters (35-39) 69 kg
(Inactive) Women's Masters (35-39) 75 kg
(Inactive) Women's Masters (35-39) 90 kg
(Inactive) Women's Masters (35-39) +90 kg
(Inactive) Women's Masters (35-39) 45kg
(Inactive) Women's Masters (35-39) 49kg
(Inactive) Women's Masters (35-39) 55kg
(Inactive) Women's Masters (35-39) 59kg
(Inactive) Women's Masters (35-39) 64kg
(Inactive) Women's Masters (35-39) 71kg
(Inactive) Women's Masters (35-39) 76kg
(Inactive) Women's Masters (35-39) 81kg
(Inactive) Women's Masters (35-39) 87kg
(Inactive) Women's Masters (35-39) +87kg
(Inactive) Women's Masters (40-44) +75 kg
(Inactive) Women's Masters (40-44) 48 kg
(Inactive) Women's Masters (40-44) 53 kg
(Inactive) Women's Masters (40-44) 58 kg
(Inactive) Women's Masters (40-44) 63 kg
(Inactive) Women's Masters (40-44) 69 kg
(Inactive) Women's Masters (40-44) 75 kg
(Inactive) Women's Masters (40-44) 90 kg
(Inactive) Women's Masters (40-44) +90 kg
(Inactive) Women's Masters (40-44) 45kg
(Inactive) Women's Masters (40-44) 49kg
(Inactive) Women's Masters (40-44) 55kg
(Inactive) Women's Masters (40-44) 59kg
(Inactive) Women's Masters (40-44) 64kg
(Inactive) Women's Masters (40-44) 71kg
(Inactive) Women's Masters (40-44) 76kg
(Inactive) Women's Masters (40-44) 81kg
(Inactive) Women's Masters (40-44) 87kg
(Inactive) Women's Masters (40-44) +87kg
(Inactive) Women's Masters (45-49) +75 kg
(Inactive) Women's Masters (45-49) 48 kg
(Inactive) Women's Masters (45-49) 53 kg
(Inactive) Women's Masters (45-49) 58 kg
(Inactive) Women's Masters (45-49) 63 kg
(Inactive) Women's Masters (45-49) 69 kg
(Inactive) Women's Masters (45-49) 75 kg
(Inactive) Women's Masters (45-49) 90 kg
(Inactive) Women's Masters (45-49) +90 kg
(Inactive) Women's Masters (45-49) 45kg
(Inactive) Women's Masters (45-49) 49kg
(Inactive) Women's Masters (45-49) 55kg
(Inactive) Women's Masters (45-49) 59kg
(Inactive) Women's Masters (45-49) 64kg
(Inactive) Women's Masters (45-49) 71kg
(Inactive) Women's Masters (45-49) 76kg
(Inactive) Women's Masters (45-49) 81kg
(Inactive) Women's Masters (45-49) 87kg
(Inactive) Women's Masters (45-49) +87kg
(Inactive) Women's Masters (50-54) +75 kg
(Inactive) Women's Masters (50-54) 48 kg
(Inactive) Women's Masters (50-54) 53 kg
(Inactive) Women's Masters (50-54) 58 kg
(Inactive) Women's Masters (50-54) 63 kg
(Inactive) Women's Masters (50-54) 69 kg
(Inactive) Women's Masters (50-54) 75 kg
(Inactive) Women's Masters (50-54) 90 kg
(Inactive) Women's Masters (50-54) +90 kg
(Inactive) Women's Masters (50-54) 45kg
(Inactive) Women's Masters (50-54) 49kg
(Inactive) Women's Masters (50-54) 55kg
(Inactive) Women's Masters (50-54) 59kg
(Inactive) Women's Masters (50-54) 64kg
(Inactive) Women's Masters (50-54) 71kg
(Inactive) Women's Masters (50-54) 76kg
(Inactive) Women's Masters (50-54) 81kg
(Inactive) Women's Masters (50-54) 87kg
(Inactive) Women's Masters (50-54) +87kg
(Inactive) Women's Masters (55-59) +75 kg
(Inactive) Women's Masters (55-59) 48 kg
(Inactive) Women's Masters (55-59) 53 kg
(Inactive) Women's Masters (55-59) 58 kg
(Inactive) Women's Masters (55-59) 63 kg
(Inactive) Women's Masters (55-59) 69 kg
(Inactive) Women's Masters (55-59) 75 kg
(Inactive) Women's Masters (55-59) 90 kg
(Inactive) Women's Masters (55-59) +90 kg
(Inactive) Women's Masters (55-59) 45kg
(Inactive) Women's Masters (55-59) 49kg
(Inactive) Women's Masters (55-59) 55kg
(Inactive) Women's Masters (55-59) 59kg
(Inactive) Women's Masters (55-59) 64kg
(Inactive) Women's Masters (55-59) 71kg
(Inactive) Women's Masters (55-59) 76kg
(Inactive) Women's Masters (55-59) 81kg
(Inactive) Women's Masters (55-59) 87kg
(Inactive) Women's Masters (55-59) +87kg
(Inactive) Women's Masters (60-64) +75 kg
(Inactive) Women's Masters (60-64) 48 kg
(Inactive) Women's Masters (60-64) 53 kg
(Inactive) Women's Masters (60-64) 58 kg
(Inactive) Women's Masters (60-64) 63 kg
(Inactive) Women's Masters (60-64) 69 kg
(Inactive) Women's Masters (60-64) 75 kg
(Inactive) Women's Masters (60-64) 90 kg
(Inactive) Women's Masters (60-64) +90 kg
(Inactive) Women's Masters (60-64) 45kg
(Inactive) Women's Masters (60-64) 49kg
(Inactive) Women's Masters (60-64) 55kg
(Inactive) Women's Masters (60-64) 59kg
(Inactive) Women's Masters (60-64) 64kg
(Inactive) Women's Masters (60-64) 71kg
(Inactive) Women's Masters (60-64) 76kg
(Inactive) Women's Masters (60-64) 81kg
(Inactive) Women's Masters (60-64) 87kg
(Inactive) Women's Masters (60-64) +87kg
(Inactive) Women's Masters (65-69) +75 kg
(Inactive) Women's Masters (65-69) 48 kg
(Inactive) Women's Masters (65-69) 53 kg
(Inactive) Women's Masters (65-69) 58 kg
(Inactive) Women's Masters (65-69) 63 kg
(Inactive) Women's Masters (65-69) 69 kg
(Inactive) Women's Masters (65-69) 75 kg
(Inactive) Women's Masters (65-69) 90 kg
(Inactive) Women's Masters (65-69) +90 kg
(Inactive) Women's Masters (65-69) 45kg
(Inactive) Women's Masters (65-69) 49kg
(Inactive) Women's Masters (65-69) 55kg
(Inactive) Women's Masters (65-69) 59kg
(Inactive) Women's Masters (65-69) 64kg
(Inactive) Women's Masters (65-69) 71kg
(Inactive) Women's Masters (65-69) 76kg
(Inactive) Women's Masters (65-69) 81kg
(Inactive) Women's Masters (65-69) 87kg
(Inactive) Women's Masters (65-69) +87kg
(Inactive) Women's Masters (70-74) +75 kg
(Inactive) Women's Masters (70-74) 48 kg
(Inactive) Women's Masters (70-74) 53 kg
(Inactive) Women's Masters (70-74) 58 kg
(Inactive) Women's Masters (70-74) 63 kg
(Inactive) Women's Masters (70-74) 69 kg
(Inactive) Women's Masters (70-74) 75 kg
(Inactive) Women's Masters (70-74) 90 kg
(Inactive) Women's Masters (70-74) +90 kg
(Inactive) Women's Masters (70-74) 45kg
(Inactive) Women's Masters (70-74) 49kg
(Inactive) Women's Masters (70-74) 55kg
(Inactive) Women's Masters (70-74) 59kg
(Inactive) Women's Masters (70-74) 64kg
(Inactive) Women's Masters (70-74) 71kg
(Inactive) Women's Masters (70-74) 76kg
(Inactive) Women's Masters (70-74) 81kg
(Inactive) Women's Masters (70-74) 87kg
(Inactive) Women's Masters (70-74) +87kg
(Inactive) Women's Masters (75+) +75 kg
(Inactive) Women's Masters (75+) 48 kg
(Inactive) Women's Masters (75+) 53 kg
(Inactive) Women's Masters (75+) 58 kg
(Inactive) Women's Masters (75+) 63 kg
(Inactive) Women's Masters (75+) 69 kg
(Inactive) Women's Masters (75+) 75 kg
(Inactive) Women's Masters (75+) 90 kg
(Inactive) Women's Masters (75+) +90 kg
(Inactive) Women's Masters (75+) 45kg
(Inactive) Women's Masters (75+) 49kg
(Inactive) Women's Masters (75+) 55kg
(Inactive) Women's Masters (75+) 59kg
(Inactive) Women's Masters (75+) 64kg
(Inactive) Women's Masters (75+) 71kg
(Inactive) Women's Masters (75+) 76kg
(Inactive) Women's Masters (75+) 81kg
(Inactive) Women's Masters (75+) 87kg
(Inactive) Women's Masters (75+) +87kg
(Inactive) Open Women's +75 kg
(Inactive) Open Women's 48 kg
(Inactive) Open Women's 53 kg
(Inactive) Open Women's 58 kg
(Inactive) Open Women's 63 kg
(Inactive) Open Women's 69 kg
(Inactive) Open Women's 75 kg
(Inactive) Open Women's 90 kg
(Inactive) Open Women's +90 kg
(Inactive) Open Women's 45kg
(Inactive) Open Women's 49kg
(Inactive) Open Women's 55kg
(Inactive) Open Women's 59kg
(Inactive) Open Women's 64kg
(Inactive) Open Women's 71kg
(Inactive) Open Women's 76kg
(Inactive) Open Women's 81kg
(Inactive) Open Women's 87kg
(Inactive) Open Women's +87kg
(Inactive) Men's Masters (35-39) 56 kg
(Inactive) Men's Masters (35-39) 62 kg
(Inactive) Men's Masters (35-39) 69 kg
(Inactive) Men's Masters (35-39) 77 kg
(Inactive) Men's Masters (35-39) 85 kg
(Inactive) Men's Masters (35-39) 94 kg
(Inactive) Men's Masters (35-39) 105 kg
(Inactive) Men's Masters (35-39) +105 kg
(Inactive) Men's Masters (35-39) 55kg
(Inactive) Men's Masters (35-39) 61kg
(Inactive) Men's Masters (35-39) 67kg
(Inactive) Men's Masters (35-39) 73kg
(Inactive) Men's Masters (35-39) 81kg
(Inactive) Men's Masters (35-39) 89kg
(Inactive) Men's Masters (35-39) 96kg
(Inactive) Men's Masters (35-39) 102kg
(Inactive) Men's Masters (35-39) 109kg
(Inactive) Men's Masters (35-39) +109kg
(Inactive) Men's Masters (40-44) 56 kg
(Inactive) Men's Masters (40-44) 62 kg
(Inactive) Men's Masters (40-44) 69 kg
(Inactive) Men's Masters (40-44) 77 kg
(Inactive) Men's Masters (40-44) 85 kg
(Inactive) Men's Masters (40-44) 94 kg
(Inactive) Men's Masters (40-44) 105 kg
(Inactive) Men's Masters (40-44) +105 kg
(Inactive) Men's Masters (40-44) 55kg
(Inactive) Men's Masters (40-44) 61kg
(Inactive) Men's Masters (40-44) 67kg
(Inactive) Men's Masters (40-44) 73kg
(Inactive) Men's Masters (40-44) 81kg
(Inactive) Men's Masters (40-44) 89kg
(Inactive) Men's Masters (40-44) 96kg
(Inactive) Men's Masters (40-44) 102kg
(Inactive) Men's Masters (40-44) 109kg
(Inactive) Men's Masters (40-44) +109kg
(Inactive) Men's Masters (45-49) 56 kg
(Inactive) Men's Masters (45-49) 62 kg
(Inactive) Men's Masters (45-49) 69 kg
(Inactive) Men's Masters (45-49) 77 kg
(Inactive) Men's Masters (45-49) 85 kg
(Inactive) Men's Masters (45-49) 94 kg
(Inactive) Men's Masters (45-49) 105 kg
(Inactive) Men's Masters (45-49) +105 kg
(Inactive) Men's Masters (45-49) 55kg
(Inactive) Men's Masters (45-49) 61kg
(Inactive) Men's Masters (45-49) 67kg
(Inactive) Men's Masters (45-49) 73kg
(Inactive) Men's Masters (45-49) 81kg
(Inactive) Men's Masters (45-49) 89kg
(Inactive) Men's Masters (45-49) 96kg
(Inactive) Men's Masters (45-49) 102kg
(Inactive) Men's Masters (45-49) 109kg
(Inactive) Men's Masters (45-49) +109kg
(Inactive) Men's Masters (50-54) 56 kg
(Inactive) Men's Masters (50-54) 62 kg
(Inactive) Men's Masters (50-54) 69 kg
(Inactive) Men's Masters (50-54) 77 kg
(Inactive) Men's Masters (50-54) 85 kg
(Inactive) Men's Masters (50-54) 94 kg
(Inactive) Men's Masters (50-54) 105 kg
(Inactive) Men's Masters (50-54) +105 kg
(Inactive) Men's Masters (50-54) 55kg
(Inactive) Men's Masters (50-54) 61kg
(Inactive) Men's Masters (50-54) 67kg
(Inactive) Men's Masters (50-54) 73kg
(Inactive) Men's Masters (50-54) 81kg
(Inactive) Men's Masters (50-54) 89kg
(Inactive) Men's Masters (50-54) 96kg
(Inactive) Men's Masters (50-54) 102kg
(Inactive) Men's Masters (50-54) 109kg
